label_id,space_similarity,material_similarity,defect_similarity,actual_space,predicted_space,actual_material,predicted_material,actual_defect,predicted_defect
fdbdc424-42fe-4caf-a917-e3581755f3ff,0.4812062382698059,0.3274878263473511,0.0,주방,Flooring,장판,Wood flooring,흠집,unknown
6ee490fe-8c44-4f21-ba02-b04055e06fad,0.6005507707595825,0.6694821119308472,0.13423998653888702,실외기실,Bathroom / Hygiene Spaces,페인트,Painted Wall,박리,Leakage & Water-related Issues
fe130a4d-a41c-4378-990c-f91182885860,0.3275296092033386,0.6213635206222534,0.49695929884910583,발코니,Bathroom / Hygiene Spaces,타일,Tile,마감불량,Finishing / Surface Issues
fcbea161-b234-409d-872b-60d6a00df0ea,0.5717054009437561,0.2940097451210022,0.24368685483932495,거실,Exterior Wall,도배지,Painted Wall,오염,Finishing / Surface Issues
1a522c08-8eac-4617-b3a1-b2cfdcd3a649,0.618415355682373,0.14164100587368011,0.34175634384155273,거실,Living Room,마루,Silicone sealant,코킹불량,Finishing / Surface Issues
4a6072ad-d9ea-407d-9686-d34e1451a8bb,0.4323700964450836,0.3763589560985565,0.34175634384155273,거실,Bathroom / Hygiene Spaces - Common Bathroom,마루,Tile,코킹불량,Finishing / Surface Issues
fd10746b-c316-4503-84d6-a04fc67505a9,0.5634350776672363,0.32500502467155457,0.0,주방,Entrance / Hallways / Storage,마루,Door frame,코킹불량,unknown
101e355f-a405-400d-9c37-220a14fabf5f,0.5634350776672363,0.1667565405368805,0.12558141350746155,주방,Entrance / Hallways / Storage,마루,Drywall,코킹불량,Structural Damage & Cracks
2412544e-a215-43bf-917c-6934fa55046e,0.5634350776672363,0.32500502467155457,0.21394403278827667,주방,Entrance / Hallways / Storage,마루,Door frame,코킹불량,Installation / Construction Faults
1fc53ce7-e839-4f61-afe9-cde70f4bdb48,0.47587278485298157,0.2609035074710846,0.21394403278827667,공용욕실,Walk-in Closet / Dressing Room,실리콘,Ceiling,코킹불량,Installation / Construction Faults
fd2cd601-1e23-4c97-b734-b78e3a52a087,0.8812792301177979,0.2940097451210022,0.24368685483932495,드레스룸,Walk-in Closet / Dressing Room,도배지,Painted Wall,오염,Finishing / Surface Issues
387fd4a8-5835-4c82-8006-484b38e3ebb2,0.45289310812950134,0.4811236560344696,0.5032737851142883,세탁실,Entrance / Hallways / Storage,오/배수배관,Tile,누수,Finishing / Surface Issues
dfa0bc3f-7ff4-44df-8839-2d692f3709ae,0.685174822807312,0.33552807569503784,0.3715306520462036,세탁실,Bathroom / Hygiene Spaces - Other Bathroom,오/배수배관,Plasterboard (drywall),누수,Installation / Construction Faults
939eff67-75d3-410a-baf6-cf171035b13a,0.5934668779373169,0.23315361142158508,0.44125401973724365,발코니(주방),Balcony (Other),페인트,PVC pipes,박리,Installation / Construction Faults
9b5f0d44-a5ea-4ffe-9af1-2f000238e7c7,0.6165755987167358,0.34300166368484497,0.44199419021606445,공용욕실,Entrance / Hallways / Storage,목제창호,Door hinge,부식,Installation / Construction Faults
81859232-dec8-480e-bfc9-b3294097ce5f,0.6165755987167358,0.34300166368484497,0.44199419021606445,공용욕실,Entrance / Hallways / Storage,목제창호,Door hinge,부식,Installation / Construction Faults
b2644e2b-6b91-48b5-a775-208a28ce6c94,0.6152337789535522,0.5654571056365967,0.542755663394928,공용욕실,Bathroom / Hygiene Spaces,목제창호,Caulking,부식,Finishing / Surface Issues
8038b344-54ce-4425-a147-e63b402c0b50,0.6152337789535522,0.22126352787017822,0.17412453889846802,공용욕실,Bathroom / Hygiene Spaces,세면대,Metal pipe and fitting,부식,Leakage & Water-related Issues
fc9f5a6d-8717-4a99-9008-ae89dd506c5b,0.1497800648212433,0.8945672512054443,0.48998966813087463,부부욕실,Bathroom / Hygiene Spaces,타일,Grout,줄눈탈락,Finishing / Surface Issues
fab73ea4-e5a3-4a25-838e-703fddbda0c1,0.1589604914188385,0.43988776206970215,0.48998966813087463,부부욕실,Exterior Wall,타일,Painted Wall,줄눈탈락,Finishing / Surface Issues
ad2278b1-f2f3-4af7-b5e8-47c3fcfe0daa,0.1497800648212433,0.6152992844581604,0.48998966813087463,부부욕실,Bathroom / Hygiene Spaces,타일,Tile grout,줄눈탈락,Finishing / Surface Issues
6c202779-64c1-4135-9288-c6047bb06fa9,0.23489846289157867,0.4823082983493805,0.44199419021606445,부부욕실,Entrance / Hallways / Storage,목제창호,Door Handle,부식,Installation / Construction Faults
17c5c90f-ebf8-431c-95af-ecac6ef1c6f3,0.6627585887908936,0.40509194135665894,0.3864471912384033,세탁실,Bathroom / Hygiene Spaces,오/배수배관,Ceiling tiles,누수,Leakage & Water-related Issues
2a6eeaf7-2948-43be-8953-d0a2c189bd7a,0.685174822807312,0.39541661739349365,0.3864471912384033,세탁실,Bathroom / Hygiene Spaces - Other Bathroom,오/배수배관,PVC Pipe,누수,Leakage & Water-related Issues
fe0f02ae-92a6-4817-92b9-18aab8bb9c7f,0.6152337789535522,0.6213635206222534,0.5277662873268127,공용욕실,Bathroom / Hygiene Spaces,타일,Tile,파손,Finishing / Surface Issues
80a210f0-907a-4d07-823d-7757915508a2,0.6152337789535522,0.4347374141216278,0.1647484302520752,공용욕실,Bathroom / Hygiene Spaces,타일,Showerhead,파손,"Fixtures, Doors & Windows Issues"
1303dc67-a821-43b9-9748-3b661c42a5b8,0.6152337789535522,0.6213635206222534,0.328415185213089,공용욕실,Bathroom / Hygiene Spaces,타일,Tile,파손,Structural Damage & Cracks
8cdc9dc9-8378-4f83-b330-4ade02519458,0.6152337789535522,0.48253175616264343,0.18882305920124054,공용욕실,Bathroom / Hygiene Spaces,타일,Ceramic tile,파손,Leakage & Water-related Issues
fdd38cb8-59b1-4ead-b187-4938168c7167,0.6197561025619507,0.15771299600601196,0.34175634384155273,주방,Kitchen & Dining Spaces - Kitchen,마루,Wood paneling,코킹불량,Finishing / Surface Issues
06833ad6-3abc-419c-8de9-79d62716dd0e,0.6584701538085938,0.2896767556667328,0.34175634384155273,주방,Kitchen & Dining Spaces,마루,Flooring,코킹불량,Finishing / Surface Issues
03072fd8-ae0c-4f44-8f19-bb9631aee500,0.6152337789535522,0.5230112075805664,0.5032737851142883,공용욕실,Bathroom / Hygiene Spaces,오/배수배관,Tile grout,누수,Finishing / Surface Issues
d05e0cc1-5e5d-45be-926e-fe1a1cab9105,0.4298030138015747,0.3541029691696167,0.3715306520462036,공용욕실,Boiler Room,오/배수배관,Insulation material (fiberglass),누수,Installation / Construction Faults
6eeee3bc-f1d8-4059-b193-35c3913913ef,0.4298030138015747,0.72588050365448,0.3715306520462036,공용욕실,Boiler Room,오/배수배관,Insulation,누수,Installation / Construction Faults
d2574e18-9e4c-46df-917d-f7cfed7ab901,0.4298030138015747,0.4414985179901123,0.5692605972290039,공용욕실,Boiler Room,오/배수배관,PVC pipe,누수,Corrosion / Rust
8c5efd10-6361-4758-b14d-365635c2ecec,0.6165755987167358,0.5335215926170349,0.0,공용욕실,Entrance / Hallways / Storage,오/배수배관,Doorplate,누수,unknown
5bae0454-fcea-4012-a0f4-6419ee8b2092,0.4298030138015747,0.39541661739349365,0.3864471912384033,공용욕실,Boiler Room,오/배수배관,PVC Pipe,누수,Leakage & Water-related Issues
fbfcf08c-b961-471e-aefe-dad938939af3,0.6666330695152283,0.287749707698822,0.1583351194858551,거실,Balcony (Living Room),PL창호,Window frame,흠집,"Fixtures, Doors & Windows Issues"
331062b8-6af3-475f-9b19-272a0400f77d,0.6165755987167358,0.24537378549575806,0.44199419021606445,공용욕실,Entrance / Hallways / Storage,목제창호,Metal hinge,부식,Installation / Construction Faults
0978ad01-128f-43c2-8e39-1d2f2ae378c4,0.5109831094741821,0.20431990921497345,0.21394403278827667,침실1(안방),Entrance / Hallways / Storage,마루,"Door frame, flooring",코킹불량,Installation / Construction Faults
71f536a9-f903-4324-a968-ac76aed0344e,0.5016568899154663,0.366851806640625,0.12558141350746155,침실1(안방),Entrance / Vestibule,마루,Wood,코킹불량,Structural Damage & Cracks
fb985cb4-fc20-4e6a-a708-dc7545c687ba,0.27083587646484375,0.0,0.0,발코니,Bedroom,벽면,unknown,마감불량,unknown
852afad7-9e30-4479-910b-90cca3cb0e8a,0.3104534149169922,0.2842581272125244,0.13423998653888702,발코니(주방),Bathroom / Hygiene Spaces,페인트,PVC Pipe,박리,Leakage & Water-related Issues
fd368767-0e2c-4cf2-84c0-e87e4a1b4de5,0.49747616052627563,0.17083840072155,0.21394403278827667,침실2,Entrance / Hallways / Storage,마루,Door frame and baseboard,코킹불량,Installation / Construction Faults
7ed2b49b-9d98-44de-a84d-9a74d45c65e5,0.43532928824424744,0.17083840072155,0.21394403278827667,침실2,Entrance / Vestibule,마루,Door frame and baseboard,코킹불량,Installation / Construction Faults
fca7d54e-8895-4686-9fe9-69c95bc8dc0d,0.5109831094741821,0.23870672285556793,0.3262208104133606,침실1(안방),Entrance / Hallways / Storage,도배지,Wood (frame),마감불량,Installation / Construction Faults
262c290b-059e-4e15-be4f-0e4f564694b9,0.5109831094741821,0.20806175470352173,0.49695929884910583,침실1(안방),Entrance / Hallways / Storage,도배지,Wood (door frame) and fabric (screen),마감불량,Finishing / Surface Issues
ff806e9b-b90b-4706-8f8d-b74e37aff02a,0.4298214614391327,0.2940097451210022,0.504275918006897,침실1(안방),Main Living Spaces - Living Room,도배지,Painted Wall,들뜸,Finishing / Surface Issues
54752f28-a7e4-43a2-aaa0-1d66064f7257,0.33648157119750977,0.8483701944351196,0.5000936985015869,발코니(주방),Exterior Wall,페인트,Paint,박리,Finishing / Surface Issues
08027db4-520c-4354-9c5e-b8446bffb00f,0.4842832088470459,0.4306415915489197,0.0,침실2,Living Room,마루,None,코킹불량,unknown
c1a38f72-fd55-475e-9c73-8f6793836ffd,0.49747616052627563,0.15771299600601196,0.34175634384155273,침실2,Entrance / Hallways / Storage,마루,Wood paneling,코킹불량,Finishing / Surface Issues
1dbf17de-5d2d-4969-9630-58b74b28453e,0.7969031929969788,0.1076747328042984,0.34175634384155273,침실1(안방),Bedroom,마루,Wood flooring and baseboard,코킹불량,Finishing / Surface Issues
24866ad7-0bb9-457b-aefe-f7dd7a2a3caf,0.7350177764892578,0.412787526845932,0.44125401973724365,발코니(주방),Entrance / Vestibule,페인트,Door frame,박리,Installation / Construction Faults
19e17cf1-a728-4bfd-a2ae-1bb288d4e092,0.6210179924964905,0.2489905059337616,0.34175634384155273,거실,Entrance / Hallways / Storage,마루,Painted Wood,코킹불량,Finishing / Surface Issues
071bbaba-dbfa-43ec-aade-4e7a728bbed2,0.5109831094741821,0.4917224049568176,0.12558141350746155,침실1(안방),Entrance / Hallways / Storage,장판,Wood,코킹불량,Structural Damage & Cracks
44343d3f-a6df-4a0a-9011-4cc427739465,0.5189125537872314,0.4400547742843628,0.0,침실1(안방),Walk-in Closet / Dressing Room,장판,None,코킹불량,unknown
4193aa5e-307a-44ac-a4fe-d3acc827920a,0.35072872042655945,0.5399212837219238,0.34175634384155273,침실1(안방),Bathroom / Hygiene Spaces,장판,Tile,코킹불량,Finishing / Surface Issues
fde0dd00-c065-4a1b-a6d8-77ea743deaf8,0.45204365253448486,0.4476583003997803,0.0,침실1(안방),Living Room,도배지,None,오염,unknown
969007e5-44b6-47dc-ad26-d0bdc9e37183,0.3613225221633911,0.17004629969596863,0.0,침실1(안방),Other Auxiliary Spaces,도배지,Drywall,오염,unknown
a011d6d0-822c-42b5-86fd-c05060c4651f,0.42024144530296326,0.32575589418411255,0.24368685483932495,침실1(안방),Exterior Wall,도배지,Paint,오염,Finishing / Surface Issues
1fc781ce-6972-4f21-8bdf-f366e4405397,0.7141123414039612,0.104160375893116,0.48078587651252747,현관,Entrance / Hallways / Storage,강제창호,Metal strip (likely stainless steel or aluminum),흠집,Finishing / Surface Issues
92550064-1646-4a2b-af8d-7e952570f719,0.7141123414039612,0.27067410945892334,0.0,현관,Entrance / Hallways / Storage,페인트,Drywall,박리,unknown
0c026d70-61dd-4af5-be41-c235f3b917e7,0.7141123414039612,0.2853300869464874,0.0,현관,Entrance / Hallways / Storage,강제창호,"Door frame, wall",코킹불량,unknown
fd4246a8-ec5d-4b5f-a0ff-b987d828fe18,0.45204365253448486,0.08677191287279129,0.48078587651252747,침실1(안방),Living Room,마루,Flooring (likely laminate or vinyl),흠집,Finishing / Surface Issues
fc65f962-fcb0-4755-8879-ca751f077c2f,0.6210179924964905,0.17004629969596863,0.2583436369895935,거실,Entrance / Hallways / Storage,도배지,Drywall,흠집,Structural Damage & Cracks
9173f918-8d31-47b3-a6eb-6f01223d5265,0.5634350776672363,0.4674229323863983,0.40523481369018555,주방,Entrance / Hallways / Storage,주방상판,Floor,파손,Installation / Construction Faults
d61d24a1-5f3d-4902-a5f8-f48b3de3b4bb,0.20704413950443268,0.6213635206222534,0.48998966813087463,발코니,Kitchen & Dining Spaces,타일,Tile,줄눈탈락,Finishing / Surface Issues
dee74b2a-e856-4402-af72-f9838a45967f,0.8195314407348633,0.2940097451210022,0.24368685483932495,침실2,Bedroom,도배지,Painted Wall,오염,Finishing / Surface Issues
986a629b-7aef-4549-ae48-29b47b7ba36c,0.6197561025619507,0.569740891456604,0.24368685483932495,주방,Kitchen & Dining Spaces - Kitchen,주방가구,Countertop,오염,Finishing / Surface Issues
49087736-8506-49b2-8e45-a1de97d09677,0.48658955097198486,0.17520320415496826,0.24368685483932495,침실3,Living Room,마루,Wood Flooring,오염,Finishing / Surface Issues
f90c814c-c293-4a96-8d6e-9c3aa5df0a9c,0.4606126844882965,0.22143718600273132,0.328415185213089,침실3,Entrance / Hallways / Storage,걸레받이,Wood flooring,파손,Structural Damage & Cracks
4a398075-4d31-43a2-9981-a5673fe3ffdb,0.4606126844882965,0.22143718600273132,0.5277662873268127,침실3,Entrance / Hallways / Storage,걸레받이,Wood flooring,파손,Finishing / Surface Issues
52966880-aa87-46d8-a2b7-40901dfb3003,0.6197561025619507,0.287749707698822,0.06806798279285431,주방,Kitchen & Dining Spaces - Kitchen,PL창호,Window frame,오염,"Fixtures, Doors & Windows Issues"
65bf570a-7db2-48f2-9324-10fc7e46bb59,0.8812792301177979,0.30187463760375977,0.24368685483932495,드레스룸,Walk-in Closet / Dressing Room,도배지,Painted Ceiling,오염,Finishing / Surface Issues
94726691-dea5-4760-b2a6-18fd383d3156,0.8812792301177979,0.2940097451210022,0.24368685483932495,드레스룸,Walk-in Closet / Dressing Room,도배지,Painted Wall,오염,Finishing / Surface Issues
3c2239df-0a47-42dd-b386-15a96bfe10b1,0.44785094261169434,0.2896767556667328,0.0,침실2,Main Living Spaces - Living Room,마루,Flooring,오염,unknown
b73de92c-58cc-432c-82fb-b3d0b757726e,0.6152337789535522,0.6152992844581604,0.5277662873268127,공용욕실,Bathroom / Hygiene Spaces,타일,Tile grout,파손,Finishing / Surface Issues
6be8afde-d6c3-4224-b0e5-24c460510679,0.6152337789535522,0.40352028608322144,0.24368685483932495,공용욕실,Bathroom / Hygiene Spaces,대리석,Terrazzo countertop,오염,Finishing / Surface Issues
45477e38-067d-4963-8c0c-0cbec3613443,0.6152337789535522,0.6152992844581604,0.5277662873268127,공용욕실,Bathroom / Hygiene Spaces,타일,Tile grout,파손,Finishing / Surface Issues
9ac7661d-6c10-4b8c-8a81-56848ede2075,0.6152337789535522,0.8945672512054443,0.5277662873268127,공용욕실,Bathroom / Hygiene Spaces,타일,Grout,파손,Finishing / Surface Issues
243eab6d-51b9-4230-820b-cb4cc93fbc4b,0.5157528519630432,0.32413238286972046,0.258919894695282,발코니,Entrance / Hallways / Storage,벽면,Wood (flooring),오염,Structural Damage & Cracks
dffbab41-0417-4cf1-9b82-2dceb11d7016,0.6197561025619507,0.2235018014907837,0.24368685483932495,주방,Kitchen & Dining Spaces - Kitchen,도배지,Painted wall and baseboard,오염,Finishing / Surface Issues
7d9f8eeb-58cb-473d-b7fd-765f73c0c571,0.9157058596611023,0.36553436517715454,0.5277662873268127,욕실,Bathroom / Hygiene Spaces,UBR,Tile,파손,Finishing / Surface Issues
e5678933-2a6c-4575-858d-dc27c93e46b3,0.6152337789535522,0.6152992844581604,0.48998966813087463,공용욕실,Bathroom / Hygiene Spaces,타일,Tile grout,줄눈탈락,Finishing / Surface Issues
d652beca-4a50-401b-ba20-075777d8d847,0.49747616052627563,0.33007583022117615,0.5750313997268677,침실2,Entrance / Hallways / Storage,목제창호,Painted surface,벗겨짐,Finishing / Surface Issues
cc345bf1-a66e-4e52-955a-fe17d0e2e098,0.1497800648212433,0.5833916664123535,0.5277662873268127,부부욕실,Bathroom / Hygiene Spaces,타일,Grating,파손,Finishing / Surface Issues
f9a95bd2-fb61-43c1-9c37-72d7ab028a5c,0.618415355682373,0.27764061093330383,0.24368685483932495,거실,Living Room,도배지,Wallpaper,오염,Finishing / Surface Issues
5adb75ed-dbe9-49bb-8746-4437c2d0828e,0.6065671443939209,0.2940097451210022,0.24368685483932495,거실,Bedroom,도배지,Painted Wall,오염,Finishing / Surface Issues
1ad47ce3-e46e-4c9e-8d69-62f44e8394fd,0.5717054009437561,0.2830120921134949,0.24368685483932495,거실,Exterior Wall,도배지,Painted surface,오염,Finishing / Surface Issues
4d47d23a-fc4a-4d1a-ba31-dee1fcbd1214,0.5109831094741821,0.1729656457901001,0.24368685483932495,침실1(안방),Entrance / Hallways / Storage,마루,Wood Paneling,오염,Finishing / Surface Issues
d38a1109-f8d2-4004-8341-792c796ccd6b,0.4994567334651947,0.8945672512054443,0.48998966813087463,공용욕실,Kitchen & Dining Spaces,타일,Grout,줄눈탈락,Finishing / Surface Issues
7693a42c-c7cd-41e8-80bb-208a4a7af125,0.345700204372406,0.33315151929855347,0.06806798279285431,침실1(안방),Kitchen & Dining Spaces - Kitchen,PL창호,Window sill,오염,"Fixtures, Doors & Windows Issues"
7a8ea4de-5c84-4cb5-a912-29a0463afaa8,0.345700204372406,0.33315151929855347,0.06806798279285431,침실1(안방),Kitchen & Dining Spaces - Kitchen,PL창호,Window sill,오염,"Fixtures, Doors & Windows Issues"
82e586ef-8936-4e0d-9286-792c238c9ead,0.345700204372406,0.3663043975830078,0.24368685483932495,침실1(안방),Kitchen & Dining Spaces - Kitchen,PL창호,Painted surface,오염,Finishing / Surface Issues
c791d6d6-154e-4cdd-aeb9-a0ed9f32ac05,0.6210179924964905,0.2440822869539261,0.5277662873268127,거실,Entrance / Hallways / Storage,걸레받이,Wood trim,파손,Finishing / Surface Issues
99c92087-7ca3-4b42-9c11-68d588f84724,0.4046112298965454,0.32658857107162476,0.28127411007881165,거실,Boiler Room,타일,Electrical Box,균열,Installation / Construction Faults
cbff15fe-e6ae-443d-8579-b4d8081bf03b,0.32564717531204224,0.6307186484336853,0.24368685483932495,발코니,Bathroom / Hygiene Spaces - Common Bathroom,벽면,Tile,오염,Finishing / Surface Issues
86af431f-7d7d-4701-8544-96c51e16f7dd,0.4606126844882965,0.41417261958122253,0.40523481369018555,침실3,Entrance / Hallways / Storage,PL창호,Door frame,파손,Installation / Construction Faults
ea3eea8a-3165-4e7a-9347-e0557a930b19,0.5745403170585632,0.42741453647613525,0.1647484302520752,침실3,Alpha Room,PL창호,Glass,파손,"Fixtures, Doors & Windows Issues"
21ca2222-71b4-472e-ae0d-988e2e813ac1,0.3613225221633911,0.34059977531433105,0.0,침실1(안방),Other Auxiliary Spaces,목제창호,Paper note,오염,unknown
b72642e3-295b-43c7-981e-1aeae5754519,0.6152337789535522,0.5888335704803467,0.287373423576355,공용욕실,Bathroom / Hygiene Spaces,타일,Tile Grout,줄눈탈락,Installation / Construction Faults
8bc253ac-bddb-413e-ba26-5cbd96ce08d2,0.3844878673553467,0.40724366903305054,0.24368685483932495,드레스룸,Kitchen & Dining Spaces - Pantry,벽면,Painted Metal Frame,오염,Finishing / Surface Issues
45b15694-a015-4938-a3d2-b91ad415d0af,0.1497800648212433,0.6152992844581604,0.48998966813087463,부부욕실,Bathroom / Hygiene Spaces,타일,Tile grout,줄눈탈락,Finishing / Surface Issues
4ee954b1-b730-4bef-8f1f-6e851d928f2e,0.6197561025619507,0.5738743543624878,0.24368685483932495,주방,Kitchen & Dining Spaces - Kitchen,주방상판,Countertop,오염,Finishing / Surface Issues
6b53f7e7-b5ba-4421-8037-2ba0ef50d001,0.3582973778247833,0.2896767556667328,0.0,침실2,Kitchen & Dining Spaces,마루,Flooring,오염,unknown
b21846b8-38ce-47e6-ac6c-5ec7056c137b,0.6152337789535522,0.6213635206222534,0.24368685483932495,공용욕실,Bathroom / Hygiene Spaces,타일,Tile,오염,Finishing / Surface Issues
a727e231-ab0d-4266-b35f-d93259b96405,0.6152337789535522,0.8945672512054443,0.5277662873268127,공용욕실,Bathroom / Hygiene Spaces,타일,Grout,파손,Finishing / Surface Issues
a2397e67-f324-498f-9c18-98db80bb3520,0.23489846289157867,0.4932689070701599,0.48998966813087463,부부욕실,Entrance / Hallways / Storage,타일,Concrete,줄눈탈락,Finishing / Surface Issues
e25ff063-71b8-4273-b5ef-bc5987b8144c,0.5109831094741821,0.3800230026245117,0.0,침실1(안방),Entrance / Hallways / Storage,붙박이장,None,오염,unknown
35070816-ae99-43d9-992c-9137d27a52e0,0.40749087929725647,0.30187463760375977,0.24368685483932495,주방,Living Room,도배지,Painted Ceiling,오염,Finishing / Surface Issues
762e89b5-caea-4a70-adf7-b36956dab2b0,0.4832959771156311,0.6213635206222534,0.24368685483932495,공용욕실,Kitchen & Dining Spaces - Kitchen,타일,Tile,오염,Finishing / Surface Issues
420163b2-ef33-4945-991f-77f5aa64f355,0.46060478687286377,0.28939446806907654,0.24368685483932495,주방,Exterior Wall,도배지,Painted Surface,오염,Finishing / Surface Issues
6d6148b0-382b-4504-9cbb-693b263fd220,0.6165755987167358,0.4460570812225342,0.5277662873268127,공용욕실,Entrance / Hallways / Storage,타일,Painted surface,파손,Finishing / Surface Issues
507f1021-c8ad-4858-93b1-a118245890c5,0.6972037553787231,0.6213635206222534,0.48998966813087463,현관,Entrance / Vestibule,타일,Tile,줄눈탈락,Finishing / Surface Issues
9b781438-0227-4d6f-951f-a75940cd331a,0.1497800648212433,0.6213635206222534,0.3338868021965027,부부욕실,Bathroom / Hygiene Spaces,타일,Tile,균열,Finishing / Surface Issues
ea963774-d8c0-4695-b1de-e1f6f05230f3,0.1497800648212433,0.6213635206222534,0.3338868021965027,부부욕실,Bathroom / Hygiene Spaces,타일,Tile,균열,Finishing / Surface Issues
d67ffd6d-3220-4c51-8899-140819bc97ff,0.1497800648212433,0.8945672512054443,0.28127411007881165,부부욕실,Bathroom / Hygiene Spaces,타일,Grout,균열,Installation / Construction Faults
ce0ae970-d287-4e16-9ad1-3583d30058a8,0.5649206638336182,0.10875750333070755,0.0,침실2,Balcony (Living Room),도배지,"Wood frame, Glass panel",오염,unknown
e7a065f7-2d30-4fa1-8c52-04cce5a22aa4,0.4438244104385376,0.2940097451210022,0.24368685483932495,침실2,Exterior Wall,도배지,Painted Wall,오염,Finishing / Surface Issues
6873c7b7-26dd-45b3-8a38-3ebd17eac7bd,0.8195314407348633,0.2922477424144745,0.24368685483932495,침실2,Bedroom,도배지,Painted wall,오염,Finishing / Surface Issues
41d4b97b-9347-430b-bc8c-f9140103a6c7,0.4606126844882965,0.1151430606842041,0.5277662873268127,침실3,Entrance / Hallways / Storage,걸레받이,Wood paneling,파손,Finishing / Surface Issues
d1085828-45d2-4432-8b15-4a92f0f72fbd,0.1497800648212433,0.6213635206222534,0.28127411007881165,부부욕실,Bathroom / Hygiene Spaces,타일,Tile,균열,Installation / Construction Faults
aa1fac2c-7592-43e7-b537-c6fc2974ba8d,0.1497800648212433,0.5762540102005005,0.21947544813156128,부부욕실,Bathroom / Hygiene Spaces,타일,Wall,균열,Structural Damage & Cracks
f49fd8df-9ed0-400a-851b-920ba12c7886,0.3952831029891968,0.44109046459198,0.24368685483932495,거실,Kitchen & Dining Spaces - Kitchen,벽면,Painted surface (likely kitchen cabinet or wall),오염,Finishing / Surface Issues
8966280d-f1eb-4aa3-8fc6-9fb4ebbd0de5,0.5717054009437561,0.28939446806907654,0.24368685483932495,거실,Exterior Wall,도배지,Painted Surface,오염,Finishing / Surface Issues
9935f9f5-7b31-4b57-a2c2-5c5b5d112221,0.23460835218429565,0.287749707698822,0.06806798279285431,발코니(주방),Kitchen & Dining Spaces - Kitchen,PL창호,Window frame,오염,"Fixtures, Doors & Windows Issues"
7b0919bb-a35c-4797-a0b5-91475c54ab26,0.38689374923706055,0.41456735134124756,0.258919894695282,드레스룸,Kitchen & Dining Spaces - Kitchen,화장대/시스템가구,Wood,오염,Structural Damage & Cracks
